type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,Ntc1RawData,NTC 1 Rohdaten,,,b509,0d0000,value,,UIN,,,
r,,,Ntc2RawData,NTC 2 Rohdaten,,,b509,0d0100,value,,UIN,,,
r,,,Ntc3RawData,NTC 3 Rohdaten,,,b509,0d0200,value,,UIN,,,
r,,,Ntc4RawData,NTC 4 Rohdaten,,,b509,0d0300,value,,UIN,,,
r,,,Ntc1Sensor,NTC 1 Sensor: Temperature in solar flow (from solar collector),,,b509,0d0500,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,Ntc2Sensor,NTC 2 Sensor: Temperature in solar back flow (to solar collector),,,b509,0d0600,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,Ntc3Sensor,NTC 3 Sensor: Temperature in buffer flow (to buffer),,,b509,0d0700,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,Ntc4Sensor,NTC 4 Sensor: Temperature in buffer back flow (from buffer),,,b509,0d0800,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,SolPumpRelay,Relais Solarpumpe: Solar pump relay: 0: OFF; 1: ON,,,b509,0d0f00,value,,UCH,0=off;1=on,,
w,,install,SolPumpRelay,Relais Solarpumpe: Solar pump relay: 0: OFF; 1: ON,,,b509,0e0f00,value,,UCH,0=off;1=on,,
r,,,SolPumpPower,Leistung Solarpumpe: Performance of solar pump: (7 - 100 %),,,b509,0d1000,value,,UCH,,kW,
w,,install,SolPumpPower,Leistung Solarpumpe: Performance of solar pump: (7 - 100 %),,,b509,0e1000,value,,UCH,,kW,
r,,,BufferPumpPower,Leistung Pufferpumpe: Performance of buffer pump: (15 - 100%),,,b509,0d1100,value,,UCH,,kW,
w,,install,BufferPumpPower,Leistung Pufferpumpe: Performance of buffer pump: (15 - 100%),,,b509,0e1100,value,,UCH,,kW,
r,,,MonitorMatlabLast5minSolAverage,MonitorMatlab_Last5minSolarAverage,,,b509,0d1700,value,,SIN,,,
r,,,CurrentSolTempDesired,Solar Zieltemperatur,,,b509,0d1800,value,,UIN,,°C,Temperature target in solar flow at sensor Ntc1Sensor
r,,,CurrentVPMLoadingMode,Aktuelle Betriebsart: 1 = Warmwasser (autonom)2 = Heizung (autonom)3 = +10K (autonom)4 = Schwimmbad5 = Warmwasser6 = Heizung7 = +10K,,,b509,0d1900,value,,UCH,,,
r,,,RunTimePump1Minutes,Laufzeit Pumpe 1: Laufzeit der Solarpumpe (Minuten Anteil),,,b509,0d1a00,value,,UCH,,min,Minuten
r,,,RunTimePump1Hours,Laufzeit Pumpe 1: Laufzeit der Solarpumpe (Stunden Anteil),,,b509,0d1b00,value,,UIN,,h,Stunden
r,,,ExternalHwcRequest,Externe Warmwasseranforderung: 0: No request; 1: Request,,,b509,0d1c00,value,,UCH,0=off;1=on,,
r,,,ExternalHcRequest,Externe Heizungsanforderung: 0: No request; 1: Request,,,b509,0d1d00,value,,UCH,0=off;1=on,,
