type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,Ntc1Sensor,NTC 1 Sensor,,,b509,0d0500,temp,,D2C,,°C,Temperature in solar flow (from solar collector),sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,Ntc2Sensor,NTC 2 Sensor,,,b509,0d0600,temp,,D2C,,°C,Temperature in solar back flow (to solar collector),sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,SolPumpRelay,Relais Solarpumpe,,,b509,0d0f00,value,,UCH,0=off;1=on,,Solar pump relay: 0: OFF; 1: ON
w,,install,SolPumpRelay,Relais Solarpumpe,,,b509,0e0f00,value,,UCH,0=off;1=on,,Solar pump relay: 0: OFF; 1: ON
r,,,SolPumpPower,Leistung Solarpumpe,,,b509,0d1000,value,,UCH,,kW,Performance of solar pump: (7 - 100 %)
w,,install,SolPumpPower,Leistung Solarpumpe,,,b509,0e1000,value,,UCH,,kW,Performance of solar pump: (7 - 100 %)
r,,,BufferPumpPower,Leistung Pufferpumpe,,,b509,0d1100,value,,UCH,,kW,Performance of buffer pump: (15 - 100%)
w,,install,BufferPumpPower,Leistung Pufferpumpe,,,b509,0e1100,value,,UCH,,kW,Performance of buffer pump: (15 - 100%)
r,,,MonitorMatlabLast5minSolAverage,MonitorMatlab_Last5minSolarAverage,,,b509,0d1700,value,,SIN,,,
r,,,CurrentVPMLoadingMode,Aktuelle Betriebsart,,,b509,0d1900,value,,UCH,,,1 = Warmwasser (autonom)2 = Heizung (autonom)3 = +10K (autonom)4 = Schwimmbad5 = Warmwasser6 = Heizung7 = +10K
r,,,RunTimePump1Minutes,Laufzeit Pumpe 1,,,b509,0d1a00,value,,UCH,,min,Laufzeit der Solarpumpe (Minuten Anteil)
r,,,RunTimePump1Hours,Laufzeit Pumpe 1,,,b509,0d1b00,value,,UIN,,h,Laufzeit der Solarpumpe (Stunden Anteil)
r,,,ExternalHwcRequest,Externe Warmwasseranforderung,,,b509,0d1c00,value,,UCH,0=off;1=on,,0: No request; 1: Request
r,,,ExternalHcRequest,Externe Heizungsanforderung,,,b509,0d1d00,value,,UCH,0=off;1=on,,0: No request; 1: Request
r,,,ExternalHwcTempDesired,Externer Warmwassersollwert,,,b509,0d1e00,value,,UCH,,°C,Requested temperature for DHW
r,,,ExternalHcTempDesired,Externer Heizungssollwert,,,b509,0d1f00,value,,UCH,,°C,Requested temperature for CH
r,,,CurrentASCStateforExternals,CurrentASCStateforExternals,,,b509,0d2000,value,,UCH,,,1:OFF 2: Proofing 3:DHWLoading 4:CHLoading 5:Overtemperature
r,,,CurrentASCStateforASI,CurrentASCStateforASI,,,b509,0d2100,value,,UCH,,,1: Standby 2:Proofing 3:StorageLoading 4:Error_System_blocked
r,,,DateAndTimeIsSet,DateAndTimeIsSet,,,b509,0d2200,value,,UCH,0=off;1=on,,0: Date and Time is not set; 1: Date and Time is set
r,,,Time,Uhrzeit,,,b509,0d2300,value,,HTI,,,Uhrzeit
w,,install,Time,Uhrzeit,,,b509,0e2300,value,,HTI,,,Uhrzeit
r,,,Date,Datum,,,b509,0d2400,value,,HDA,,,Datum
w,,install,Date,Datum,,,b509,0e2400,value,,HDA,,,Datum
