type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*u,
*w,
*uw,
*[heatpumptype],,,heatpumptype,,value
*[id_sw],scan,,,,SW
[heatpumptype=3]r,,,SourceTempOutput,"Austrittstemp: Wärmequellentemperatur am Austritt der Wärmepumpe, T8",,,b509,0d0800,temp,,D2C,,°C,register value,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
[heatpumptype=3]u,,,SourceTempOutput,"Austrittstemp: Wärmequellentemperatur am Austritt der Wärmepumpe, T8",,,b509,290800,value,,IGN:2,,,,temp,,D2C,,°C,register value,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
[heatpumptype=3]r,,,Source,Quellenpumpe,,,b509,0d1900,value,,UCH,0=off;1=on,,register value
[heatpumptype=3]u,,,Source,Quellenpumpe,,,b509,291900,value,,IGN:2,,,,value,,UCH,0=off;1=on,,register value
[heatpumptype=3]r,,,Source2Pump,Brine2_P: Status externe Quellenpumpe: AN/AUS,,,b509,0d1a00,value,,UCH,0=off;1=on,,register value
[heatpumptype=3]r,,,SourceSwitch,Status interner Strömungsschalter,,,b509,0d2600,value,,UCH,0=ok;1=error,,register value
[heatpumptype=3]u,,,SourceSwitch,Status interner Strömungsschalter,,,b509,292600,value,,IGN:2,,,,value,,UCH,0=ok;1=error,,register value
[heatpumptype=3]r,,,CondensorTemp,TEV-Eintritt: Temperatur am Eintritt des thermischen Expansionsventils,,,b509,0d0d00,temp,,D2C,,°C,register value,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
[heatpumptype=3]u,,,CondensorTemp,TEV-Eintritt: Temperatur am Eintritt des thermischen Expansionsventils,,,b509,290d00,value,,IGN:2,,,,temp,,D2C,,°C,register value,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
[heatpumptype=3]r,,,OverpressureThreshold,Abschaltgrenze Hochdruck nach Warmwasserbereitung,,,b509,0d7701,value,,ULG,,mbar,register value
