type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
[id_sw>=38]r,,,SingleStorageCharge,1x Speicherladung,,,b509,0d4400,value,,UCH,0=off;1=on,,Enable SingleTankCharge
[id_sw>=38]r,,,ZaehlerBetriebsStunden,ZaehlerBetriebsStunden,,,b509,0d4500,value,,UIN,,,Working Hours
[id_sw>=39]r,,,DurchflussTemp,Volumenstrom,,,b509,0d4600,value,,D2C,,°C,Volumenstrom in Liter / Minute
[id_sw>=112]r,,,VPMWMode,VPMW Typ,,,b509,0d4b00,value,,UCH,,,"1=VPM 20/25W, 2=VPM 30/35W"
[id_sw>=117]r,,,OverheatTimer,Overheat_timer,,,b509,0d5200,value,,UCH,,s,Overheat_timer
[id_sw>=40]r,,,HexMonitoringCounter,HexMonitoringCounter,,,b509,0d4700,value,,SIN,,,RO
[id_sw>=40]r,,,HExThreshold,HExThreshold,,,b509,0d4800,value,,SIN,,in 1/100,RO
[id_sw>=40]r,,,BigHExThreshold,BigHExThreshold,,,b509,0d4900,value,,SIN,,in 1/100,RW
[id_sw>=40]r,,,HExIndex,HExIndex,,,b509,0d4a00,value,,SIN,,in 1/100,RO
[id_sw>=113]r,,,ActualKrm,Actual_Krm,,,b509,0d4c00,value,,SIN,,in 1/1000,"Krm used for calculation (set in DynamicTnm), valid after 1. Tapping"
[id_sw>=113]r,,,ActualTnm,Actual_Tnm,,,b509,0d4d00,value,,SIN,,in 1/1000,"Tnm used for calculation (set in DynamicTnm), valid after 1. Tapping"
[id_sw>=114]r,,,KrmFaktorSmall,Krm_Faktor_Small,,,b509,0d4e00,value,,SIN,,in 1/1000,Krm Verstärkungsfaktor Small (1/1000)
[id_sw>=114]r,,,KrmFaktorMiddl,Krm_Faktor_Middl,,,b509,0d4f00,value,,SIN,,in 1/1000,Krm Verstärkungsfaktor Middl (1/1000)
[id_sw>=114]r,,,TnmFaktorSmall,Tnm_Faktor_Small,,,b509,0d5000,value,,SIN,,in 1/1000,Tnm Verstärkungsfaktor Small (1/1000)
[id_sw>=114]r,,,TnmFaktorMiddl,Tnm_Faktor_Middl,,,b509,0d5100,value,,SIN,,in 1/1000,Tnm Verstärkungsfaktor Middl (1/1000)
r,,,Ntc1Sensor,NTC 1 Sensor,,,b509,0d0000,temp,,D2C,,°C,T1 Temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,Ntc2Sensor,NTC 2 Sensor,,,b509,0d0100,temp,,D2C,,°C,T2 Temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,Ntc3Sensor,NTC 3 Sensor,,,b509,0d0200,temp,,D2C,,°C,T3 Temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,Vortex,Vortex,,,b509,0d0300,value,,UIN,,Hz,"Frequency in Hz ( 1: y [l/min] = 0,0835 * x [Hz] - 0,03, 2: y [l/min] = 0,185 * x [Hz] )"
r,,,CircoPump,Zirkulationspumpe,,,b509,0d0400,value,,UCH,,%,Leistung in %
r,,,PumpED,Einschaltdauer Pumpe,,,b509,0d0500,value,,UCH,,%,Leistung in %
