type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,HeatingScheduleEnable,Heating Shedule Enable: Heizplan aktivieren,,,b509,0d0200,value,,UCH,0=off;1=on,,
w,,,HeatingScheduleEnable,Heating Shedule Enable: Heizplan aktivieren,,,b509,0e0200,value,,UCH,0=off;1=on,,
r,,,HeatingEnable,Heating Enable: Heizung aktivieren,,,b509,0d0300,value,,UCH,0=off;1=on,,
w,,,HeatingEnable,Heating Enable: Heizung aktivieren,,,b509,0e0300,value,,UCH,0=off;1=on,,
r,,,HeatingTempSet,Heating Temp Manual Set: Manuelle Einstellung der Heiztemperatur,,,b509,0d2200,value,,D2C,,°C,Temperatur
w,,,HeatingTempSet,Heating Temp Manual Set: Manuelle Einstellung der Heiztemperatur,,,b509,0e2200,value,,D2C,,°C,Temperatur
r,,,HeatingOverrideEnable,Heating Override Enable: Heizungsüberbrückung aktivieren,,,b509,0d2300,value,,UCH,0=off;1=on,,
w,,,HeatingOverrideEnable,Heating Override Enable: Heizungsüberbrückung aktivieren,,,b509,0e2300,value,,UCH,0=off;1=on,,
r,,,HeatingOverrideTemp,Heating Override Temp: Übersteuerungstemperatur der Heizung,,,b509,0d2400,value,,D2C,,°C,Temperatur
w,,,HeatingOverrideTemp,Heating Override Temp: Übersteuerungstemperatur der Heizung,,,b509,0e2400,value,,D2C,,°C,Temperatur
r,,,HeatingOverrideEndTime,Heating Override End Time: Endzeit Heizungsübersteuerung,,,b509,0d2500,value,,DTM,,,
w,,,HeatingOverrideEndTime,Heating Override End Time: Endzeit Heizungsübersteuerung,,,b509,0e2500,value,,DTM,,,
r,,,KeyboardLockEnable,Keyboard Lock Enable: Tastatursperre aktivieren,,,b509,0d2a00,value,,UCH,0=off;1=on,,
w,,,KeyboardLockEnable,Keyboard Lock Enable: Tastatursperre aktivieren,,,b509,0e2a00,value,,UCH,0=off;1=on,,
r,,,Contrast,Contrast: Kontrast,,,b509,0d2b00,value,,UCH,,,
w,,,Contrast,Contrast: Kontrast,,,b509,0e2b00,value,,UCH,,,
r,,,Brightness,Brightness: Helligkeit,,,b509,0d2c00,value,,UCH,,,
w,,,Brightness,Brightness: Helligkeit,,,b509,0e2c00,value,,UCH,,,
r,,,Time_Date,Time & Date: Uhrzeit & Datum,,,b509,0d2e00,value,,DTM,,,
w,,,Time_Date,Time & Date: Uhrzeit & Datum,,,b509,0e2e00,value,,DTM,,,
r,,,DateFormat,Date Format: Datumsformat 1-TT.MM.JJJJ 2-JJJJ.MM.TT,,,b509,0d2d00,value,,UCH,,,
w,,,DateFormat,Date Format: Datumsformat 1-TT.MM.JJJJ 2-JJJJ.MM.TT,,,b509,0e2d00,value,,UCH,,,
r,,,Weekday,Wochentag,,,b509,0d2f00,value,,BDY,,,Wochentag
w,,,Weekday,Wochentag,,,b509,0e2f00,value,,BDY,,,Wochentag
r,,,RoomName,Room Name,,,b509,0d3000,value,,STR:14,,,Room Name
w,,,RoomName,Room Name,,,b509,0e3000,value,,STR:14,,,Room Name
r,,,Language,Sprache,,,b509,0d3100,value,,UCH,0=german;1=english;2=french;3=italian;4=flemish;5=dutch;6=spanish;7=catalan;8=basque;9=galician;10=hungarian;11=russian;12=ukrainian;13=polish;14=czech;15=croatian;16=slovakian;17=romanian;18=slovenian;19=Portuguese;20=dutch__AT_,,Sprache
w,,,Language,Sprache,,,b509,0e3100,value,,UCH,0=german;1=english;2=french;3=italian;4=flemish;5=dutch;6=spanish;7=catalan;8=basque;9=galician;10=hungarian;11=russian;12=ukrainian;13=polish;14=czech;15=croatian;16=slovakian;17=romanian;18=slovenian;19=Portuguese;20=dutch__AT_,,Sprache
r,,,RoomTemp,Room Temp: Zimmertemperatur,,,b509,0d3a00,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,DisplayedRoomTemp,Displayed Room Temp: Angezeigte Raumtemperatur,,,b509,0d3b00,value,,D2C,,°C,Temperatur
r,,,OutsideTemp,Outside Temp: Außentemperatur,,,b509,0d3c00,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,DHWTempSet,DHW Temp Manual Set: Manuelle Einstellung der Warmwassertemperatur,,,b509,0d4000,value,,D2C,,°C,Temperatur
w,,,DHWTempSet,DHW Temp Manual Set: Manuelle Einstellung der Warmwassertemperatur,,,b509,0e4000,value,,D2C,,°C,Temperatur
r,,,DHWEnable,DHW Enable: DHW Aktivieren,,,b509,0d4100,value,,UCH,0=off;1=on,,
w,,,DHWEnable,DHW Enable: DHW Aktivieren,,,b509,0e4100,value,,UCH,0=off;1=on,,
r,,,DHWScheduleEnable,DHW Shedule Enable: DHW Zeitplan aktivieren,,,b509,0d4200,value,,UCH,0=off;1=on,,
w,,,DHWScheduleEnable,DHW Shedule Enable: DHW Zeitplan aktivieren,,,b509,0e4200,value,,UCH,0=off;1=on,,
r,,,DHWOverrideEnable,DHW Override Enable: DHW Überschreiben aktivieren,,,b509,0d5100,value,,UCH,0=off;1=on,,
w,,,DHWOverrideEnable,DHW Override Enable: DHW Überschreiben aktivieren,,,b509,0e5100,value,,UCH,0=off;1=on,,
r,,,DHWOverrideState,DHW Override State: DHW Status überschreiben,,,b509,0d5200,value,,UCH,0=off;1=on,,
w,,,DHWOverrideState,DHW Override State: DHW Status überschreiben,,,b509,0e5200,value,,UCH,0=off;1=on,,
r,,,DHWOverrideEndTime,DHW Override End Time: DHW Endzeit überschreiben,,,b509,0d5300,value,,DTM,,,
w,,,DHWOverrideEndTime,DHW Override End Time: DHW Endzeit überschreiben,,,b509,0e5300,value,,DTM,,,
r,,,VacationEnable,Vacation Enable: Urlaub aktivieren,,,b509,0d5400,value,,UCH,0=off;1=on,,
w,,,VacationEnable,Vacation Enable: Urlaub aktivieren,,,b509,0e5400,value,,UCH,0=off;1=on,,
r,,,VacationStartTime,Vacation Start Time: Urlaubsstartzeit,,,b509,0d5500,value,,DTM,,,
w,,,VacationStartTime,Vacation Start Time: Urlaubsstartzeit,,,b509,0e5500,value,,DTM,,,
r,,,VacationEndTime,Vacation End Time: Urlaubsendzeit,,,b509,0d5700,value,,DTM,,,
w,,,VacationEndTime,Vacation End Time: Urlaubsendzeit,,,b509,0e5700,value,,DTM,,,
r,,,VacationTempSet,Vacation Temp Manual Set: Urlaubstemperatur manuell eingestellt,,,b509,0d5800,value,,D2C,,°C,Temperatur
w,,,VacationTempSet,Vacation Temp Manual Set: Urlaubstemperatur manuell eingestellt,,,b509,0e5800,value,,D2C,,°C,Temperatur
r,,,HeatingTemp1,Heating Temp 1: Heiztemperatur 1,,,b509,0d7300,value,,D2C,,°C,Temperatur
w,,,HeatingTemp1,Heating Temp 1: Heiztemperatur 1,,,b509,0e7300,value,,D2C,,°C,Temperatur
r,,,HeatingTemp2,Heating Temp 2: Heiztemperatur 2,,,b509,0d7400,value,,D2C,,°C,Temperatur
w,,,HeatingTemp2,Heating Temp 2: Heiztemperatur 2,,,b509,0e7400,value,,D2C,,°C,Temperatur
r,,,MondayHeatingTime,Montag Heizzeit,,,b509,0d0500,ttm,,TTM,,,Montag Heizzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,,MondayHeatingTime,Montag Heizzeit,,,b509,0e0500,ttm,,TTM,,,Montag Heizzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,TuesdayHeatingTime,Dienstag Heizzeit,,,b509,0d0600,ttm,,TTM,,,Dienstag Heizzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,,TuesdayHeatingTime,Dienstag Heizzeit,,,b509,0e0600,ttm,,TTM,,,Dienstag Heizzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,WednesdayHeatingTime,Mittwoch Heizzeit,,,b509,0d0700,ttm,,TTM,,,Mittwoch Heizzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,,WednesdayHeatingTime,Mittwoch Heizzeit,,,b509,0e0700,ttm,,TTM,,,Mittwoch Heizzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,ThursdayHeatingTime,Donnerstag Heizzeit,,,b509,0d0800,ttm,,TTM,,,Donnerstag Heizzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,,ThursdayHeatingTime,Donnerstag Heizzeit,,,b509,0e0800,ttm,,TTM,,,Donnerstag Heizzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,FridayHeatingTime,Freitag Heizzeit,,,b509,0d0900,ttm,,TTM,,,Freitag Heizzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,,FridayHeatingTime,Freitag Heizzeit,,,b509,0e0900,ttm,,TTM,,,Freitag Heizzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,SaturdayHeatingTime,Heizzeit am Samstag,,,b509,0d0a00,ttm,,TTM,,,Heizzeit am Samstag,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,,SaturdayHeatingTime,Heizzeit am Samstag,,,b509,0e0a00,ttm,,TTM,,,Heizzeit am Samstag,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,SundayHeatingTime,Sonntag Heizzeit,,,b509,0d0b00,ttm,,TTM,,,Sonntag Heizzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,,SundayHeatingTime,Sonntag Heizzeit,,,b509,0e0b00,ttm,,TTM,,,Sonntag Heizzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,MondayHeatingTemp,Monday Heating Temp,,,b509,0d0c00,temp,,D2C,,°C,Montag Heiztemperaturen,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur,temp_4,,D2C,,°C,Temperatur,temp_5,,D2C,,°C,Temperatur,temp_6,,D2C,,°C,Temperatur
w,,,MondayHeatingTemp,Monday Heating Temp,,,b509,0e0c00,temp,,D2C,,°C,Montag Heiztemperaturen,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur,temp_4,,D2C,,°C,Temperatur,temp_5,,D2C,,°C,Temperatur,temp_6,,D2C,,°C,Temperatur
r,,,TuesdayHeatingTemp,Tuesday Heating Temp,,,b509,0d0d00,temp,,D2C,,°C,Dienstag Heiztemperaturen,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur,temp_4,,D2C,,°C,Temperatur,temp_5,,D2C,,°C,Temperatur,temp_6,,D2C,,°C,Temperatur
w,,,TuesdayHeatingTemp,Tuesday Heating Temp,,,b509,0e0d00,temp,,D2C,,°C,Dienstag Heiztemperaturen,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur,temp_4,,D2C,,°C,Temperatur,temp_5,,D2C,,°C,Temperatur,temp_6,,D2C,,°C,Temperatur
r,,,WednesdayHeatingTemp,Wednesday Heating Temp,,,b509,0d0e00,temp,,D2C,,°C,Mittwoch Heiztemperaturen,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur,temp_4,,D2C,,°C,Temperatur,temp_5,,D2C,,°C,Temperatur,temp_6,,D2C,,°C,Temperatur
w,,,WednesdayHeatingTemp,Wednesday Heating Temp,,,b509,0e0e00,temp,,D2C,,°C,Mittwoch Heiztemperaturen,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur,temp_4,,D2C,,°C,Temperatur,temp_5,,D2C,,°C,Temperatur,temp_6,,D2C,,°C,Temperatur
r,,,ThursdayHeatingTemp,Thursday Heating Temp,,,b509,0d0f00,temp,,D2C,,°C,Donnerstag Heiztemperaturen,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur,temp_4,,D2C,,°C,Temperatur,temp_5,,D2C,,°C,Temperatur,temp_6,,D2C,,°C,Temperatur
w,,,ThursdayHeatingTemp,Thursday Heating Temp,,,b509,0e0f00,temp,,D2C,,°C,Donnerstag Heiztemperaturen,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur,temp_4,,D2C,,°C,Temperatur,temp_5,,D2C,,°C,Temperatur,temp_6,,D2C,,°C,Temperatur
