type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
[id_sw>=201]r,,,DisplayedRoomTemp,Displayed Room Temp,,,b509,0d3e00,value,,D2C,,°C,Aktuelle Raumtemperatur
[id_sw=102-131]r,,,RoomTemp,Raumisttemp,,,b509,0d0000,temp,,D2C,,°C,Rohwert Raumtemperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,OutsideTemp,Außentemp. Sensor,,,b509,0d0300,temp,,D2C,,°C,Außentemperatur und Sensorstatus,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,OperatingMode,Betriebsart,,,b509,0d0500,value,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,Betriebsart
w,,,OperatingMode,Betriebsart,,,b509,0e0500,value,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,Betriebsart
r,,,ActualWeekday,Aktueller Wochentag,,,b509,0d0600,value,,BDY,,,Aktueller Wochentag
w,,,ActualWeekday,Aktueller Wochentag,,,b509,0e0600,value,,BDY,,,Aktueller Wochentag
r,,,Time,Uhrzeit,,,b509,0d0700,value,,HTI,,,Aktuelle Uhrzeit
w,,,Time,Uhrzeit,,,b509,0e0700,value,,HTI,,,Aktuelle Uhrzeit
r,,,ReducedNightTemp,Nachttemperatur,,,b509,0d0800,value,,D2C,,°C,drop temperature setpoint
w,,,ReducedNightTemp,Nachttemperatur,,,b509,0e0800,value,,D2C,,°C,drop temperature setpoint
r,,,YearCalendarActive,Jahreskalender,,,b509,0d0b00,value,,UCH,0=off;1=on,,Automatische Umschaltung Sommer-Winterzeit
w,,install,YearCalendarActive,Jahreskalender,,,b509,0e0b00,value,,UCH,0=off;1=on,,Automatische Umschaltung Sommer-Winterzeit
r,,,Date,Datum,,,b509,0d0d00,value,,HDA,,,current date (calendar must be enabled previously!)
w,,,Date,Datum,,,b509,0e0d00,value,,HDA,,,current date (calendar must be enabled previously!)
r,,,IsInHoliday,Ferienprogramm aktiv,,,b509,0d1100,value,,UCH,,,Restliche Urlaubstage
r,,,IsInQuickVeto,Quick Veto aktiv,,,b509,0d1600,value,,UCH,0=off;1=on,,Quick Veto Funktion aktiv
r,,,QuickVetoTemp,Quick Veto Temp,,,b509,0d1700,value,,D2C,,°C,room temperature setpoint during activated quick veto function
r,,,HwcTempDesired,WW Sollwert,,,b509,0d1e00,value,,D2C,,°C,WW Sollwert
w,,,HwcTempDesired,WW Sollwert,,,b509,0e1e00,value,,D2C,,°C,WW Sollwert
r,,,ComfTempDesired,Komforttemp,,,b509,0d2000,temp,,D2C,,°C,Raumsollwert,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur
w,,,ComfTempDesired,Komforttemp,,,b509,0e2000,temp,,D2C,,°C,Raumsollwert,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur
r,,,RoomTempOffset,Raumisttemp. Korrekturwert,,,b509,0d0200,value,,D2C,,°C,Korrekturwert der Raumtemperaturanzeige
