type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
r,,,OutsideTemp,Aussentemperatur,,,b509,0d0100,temp,,D2C,,°C,Außentemperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,FlowTemp,Systemvorlauf,,,b509,0d0200,temp,,D2C,,°C,Systemtemperatur in der hydraulischen Weiche oder am gemeinsamen Vorlauf (VF1),sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,SystemTempGradient,SystemTempGradient,,,b509,0d8c00,value,,D2C,,°C,gradient of the system temperature (VF1)
r,,,FlowTempDesired,Vorlauftemp. SOLL,,,b509,0d0500,value,,D2C,,°C,Ermittelte Vorlaufsolltemperatur für das System
r,,,StateEM,Status Energiemanger,,,b509,0d4b00,value,,UCH,0=off;1=heat;2=water;3=wateroverrun,,Status des Energiemanagers
r,,,HydraulicMap,Hydraulikplan,,,b509,0d1e00,value,,UCH,,,Hydraulikplan. Dies ist nor eine Kopie des Wertes von der Grundleiterplatte. Bitte den Wert bei der Grundleiterplatte ändern. Ein Neustart des Systems muß danach erfolgen damit dieser Wert aktualisiert wird.
r,,,PreShutDownTime,Vorabschaltzeit,,,b509,0d2d00,value,,UCH,,min,Minuten
w,,,PreShutDownTime,Vorabschaltzeit,,,b509,0e2d00,value,,UCH,,min,Minuten
r,,,FrostOverRideTime,Frostschutz-Verzögerung,,,b509,0d2e00,value,,UCH,,hour,
w,,,FrostOverRideTime,Frostschutz-Verzögerung,,,b509,0e2e00,value,,UCH,,hour,
r,,,TempIncrease,Temperaturüberhöhung,,,b509,0d2f00,value,,D2C,,°C,Temperatur
w,,,TempIncrease,Temperaturüberhöhung,,,b509,0e2f00,value,,D2C,,°C,Temperatur
r,,,ContinuousHeatingLimit,AT Durchheizen,,,b509,0d6400,value,,SCH,,,"-128=off, Unterhalb der hier eingestellten Temperatur wird die Nachtabsenkung unterdrückt. Die Kreise arbeiten mit dem eingestellten Tagsollwert weiter."
w,,,ContinuousHeatingLimit,AT Durchheizen,,,b509,0e6400,value,,SCH,,,"-128=off, Unterhalb der hier eingestellten Temperatur wird die Nachtabsenkung unterdrückt. Die Kreise arbeiten mit dem eingestellten Tagsollwert weiter."
r,,,MixerDetected,Erkannte VR60,,,b509,0d1800,value,,UCH,,,detected VR60 (bit counted)
r,,,BoilerDetected,Entdeckte Buskoppler,,,b509,0d1900,value,,UCH,,,"detected bus coppler e.g. VR30,31,32 (bit counted)"
r,,,RemoteDetected,Erkannte Fernbediengeräte,,,b509,0d1a00,value,,UCH,,,detected VR80 or VR90 (bit counted)
r,,,ActoStorModulDetected,ActoStorModulDetected,,,b509,0d5a00,value,,UCH,,,detected VLR (bit counted)
r,,,AscBigModulDetected,AscBigModulDetected,,,b509,0d7f00,value,,UCH,,,detected VPM-S (bit counted)
r,,,AscSmallModulDetected,AscSmallModulDetected,,,b509,0d8000,value,,UCH,,,detected VMS (bit counted)
r,,,WaterstationModulDetected,FwsModulDetected,,,b509,0d8100,value,,UCH,,,detected VPM-W (bit counted)
r,,,BoilerCount,Anzahl Heizgeräte,,,b509,0d1c00,value,,UCH,,,active boiler in the system
