type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,StatPowerOn,StatPowerOn,,,b509,0dcc00,value,,UIN,,,
r,,,StatOperatingHours,StatOperatingHours,,,b509,0dcd00,value,,UIN,,,
r,,,StatMonthOfInstallation,StatMonthOfInstallation,,,b509,0dce00,value,,UCH,,,
r,,,StatYearOfInstallation,StatYearOfInstallation,,,b509,0dcf00,value,,UCH,,,
r,,,Stat15MinBusTimeout,Stat15MinBusTimeout,,,b509,0dd000,value,,UCH,,,
r,,,StatRTOSErrorcode,StatRTOSErrorcode,,,b509,0dd100,value,,UIN,,,
r,,,StatRestarts,StatRestarts,,,b509,0dd200,value,,UIN,,,
r,,,StatRTOSErrorCounter,StatRTOSErrorCounter,,,b509,0dd300,value,,UIN,,,
r,,,Storage1Sensor2,SP1 Sensor,,,b509,0d0000,temp,,D2C,,°C,Temperature of SP1 sensor,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,CirPump2,Zirkulationspumpe,,,b509,0d0c00,value,,UCH,0=off;1=on,,State of the circulation pump
r,,,ThreeWayValveLoadingPump12,LP/UV1,,,b509,0d1000,value,,UCH,0=off;1=on,,State of LP/UV1
r,,,LegioPump2,Legionellenpumpe,,,b509,0d1100,value,,UCH,0=off;1=on,,State of the legionella pump
r,,,TeleSwitch,TeleSWITCH,,,b509,0d0a00,value,,UCH,0=off;1=on,,State of the Teleswitch
r,,,OneTimeCirSwitch,1x ZP Schalter,,,b509,0d0b00,value,,UCH,0=off;1=on,,non-recurring circulation pump running period
r,,,IsInParty,Partyfunktion aktiv,,,b509,0d4e00,value,,UCH,,,Every bit of this byte represents a heating circuit; if bit is set the party function is activated for the corresponding HC
r,,,HwcLaggingTime2,WP Nachlaufzeit WW,,,b509,0d6100,value,,UCH,,min,Time pump is running after energy demand is met
w,,,HwcLaggingTime2,WP Nachlaufzeit WW,,,b509,0e6100,value,,UCH,,min,Time pump is running after energy demand is met
r,,,FlowTempDesired2,Vorlaufsolltemperatur,,,b509,0d4600,value,,D1C,,°C,Flow setpoint if tank has an energy demand
r,,,HcParallelStorageFillingEnabled2,HcParallelTankFillingEnabled2,,,b509,0d5500,value,,UCH,0=no;1=yes,,Heating cuircuits can be loaded in parallel to an active tank loading
w,,,HcParallelStorageFillingEnabled2,HcParallelTankFillingEnabled2,,,b509,0e5500,value,,UCH,0=no;1=yes,,Heating cuircuits can be loaded in parallel to an active tank loading
r,,,HwcLoadingDelay2,WW Ladeverzögerung,,,b509,0d6200,value,,UCH,,min,Time waiting for a heating demand in caser of solar gain
w,,,HwcLoadingDelay2,WW Ladeverzögerung,,,b509,0e6200,value,,UCH,,min,Time waiting for a heating demand in caser of solar gain
r,,,SpreadingHwcLoading,Offset Warmwasserladung,,,b509,0d8800,value,,UCH,,K,Offset for DHW flow temperature
w,,service,SpreadingHwcLoading,Offset Warmwasserladung,,,b509,0e8800,value,,UCH,,K,Offset for DHW flow temperature
r,,,LegioStartTime2,LegioStartTime2,,,b509,0d8a00,value,,UCH,,,Hour for legio protection
w,,,LegioStartTime2,LegioStartTime2,,,b509,0e8a00,value,,UCH,,,Hour for legio protection
