type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,OperatingMode,Betriebsart,,,b509,0d0604,value,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,1=Heizen 2=Aus 3=Auto 4=Eco 5=Absenken
r,,,FlowTempMin,Min. Vorlauftemp.,,,b509,0d0b04,value,,UCH,,°C,1 °C resolution
r,,,FlowTempMax,Max. Vorlauftemp.,,,b509,0d0c04,value,,UCH,,°C,1 °C resolution
r,,,TempDesired,Solltemperatur,,,b509,0d0d04,value,,D1C,,°C,1/2 °C resolution
r,,,TempDesiredLow,Absenksollwert,,,b509,0d0e00,value,,D1C,,°C,1/2 °C resolution
r,,,HcMaxPreHeating,Max. Voraufheizung,,,b509,0d1300,value,,UCH,,,"0,5h"
r,,,FloorPavingDryingDay,Estrichtrocknung Tag,,,b509,0d1600,value,,UCH,,,
r,,,Kreisart,Kreisart,,,b509,0d1700,value,,UCH,,,1=Brennerkreis 2=BrennerFestwert
w,,service,Kreisart,Kreisart,,,b509,0e1700,value,,UCH,,,1=Brennerkreis 2=BrennerFestwert
r,,,CircuitDiaState,CircuitDiaState,,,b509,0d1804,value,,UCH,,,
r,,,CleaningLady,Sparfunktion,,,b509,0d2304,value,,UCH,,,"0,5h"
r,,,RemoteControlMode,Raumaufschaltung,,,b509,0d2400,value,,UCH,,,
r,,,RemoteControlRtOffset,Offset Fernbedienung,,,b509,0d2500,value,,SCH,,,"0,5°C"
r,,,ActualTempDesired,Akt. Solltemperatur,,,b509,0d3304,value,,D1C,,°C,1/2°C Auflösung
r,,,Regelungsart,Regelungsart,,,b509,0d3500,value,,UCH,,,1 : Rücklaufregelung 2 : Vorlaufregelung
w,,service,Regelungsart,Regelungsart,,,b509,0e3500,value,,UCH,,,1 : Rücklaufregelung 2 : Vorlaufregelung
r,,,Konfiguration,Konfiguration,,,b509,0dc400,value,,UCH,,,
w,,service,Konfiguration,Konfiguration,,,b509,0ec400,value,,UCH,,,
r,,,HzTemp,T_Hz,,,b509,0dd800,value,,D2C,,°C,Vorlauf- oder Rücklauftemperatur je nach gewählter Regelungsart
r,,,HTSoll,HT_Soll,,,b509,0dd900,value,,D2C,,°C,°C
r,,,DateTime,Datum Uhrzeit,,,b504,00,dcfstate,,UCH,0=nosignal;1=ok;2=sync;3=valid,,DCF Empfängerstatus,btime,,BTI,,,Uhrzeit,bdate,,BDA,,,Datum,temp,,D2B,,°C,Temperatur
r,,,Mode,Betriebsmodus,,,b504,01,tempdesired,,UCH,,°C,Temperatur,mcmode,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,Mischer Modus,floorpavingdryingday,,UCH,,,Tage,floorpavingdryingtemp,,UCH,,°C,Temperatur,teleswitchmode,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,Mischer Modus,mctype,,BI0:7,0=inactive;1=mixer;2=fixed;3=hwc;4=returnincr;5=pool;6=circulation,,Mischer Typ,ign,,IGN,,,,daynight,,UCH,0=night;1=day;7=floorpaving,,Tag-/Nachtmodus
w,,,SetTempDesired,Solltemperatur setzen,,,b505,01,value,,UCH,,°C,Temperatur
