type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,StatPowerOn,StatPowerOn,,,b509,0dcc00,value,,UIN,,,
r,,,StatOperatingHours,StatOperatingHours,,,b509,0dcd00,value,,UIN,,,
r,,,StatMonthOfInstallation,StatMonthOfInstallation,,,b509,0dce00,value,,UCH,,,
r,,,StatYearOfInstallation,StatYearOfInstallation,,,b509,0dcf00,value,,UCH,,,
r,,,Stat15MinBusTimeout,Stat15MinBusTimeout,,,b509,0dd000,value,,UCH,,,
r,,,StatRTOSErrorcode,StatRTOSErrorcode,,,b509,0dd100,value,,UIN,,,
r,,,StatRestarts,StatRestarts,,,b509,0dd200,value,,UIN,,,
r,,,StatRTOSErrorCounter,StatRTOSErrorCounter,,,b509,0dd300,value,,UIN,,,
r,,,FlowTempDesired,Vorlaufsolltemperatur,,,b509,0d4600,value,,D1C,,°C,Desired flow temperature of MK2
r,,,FlowTemp,VF2 Sensor,,,b509,0d0300,temp,,D2C,,°C,Vorlauftemperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,OutsideTemp,Außentemp. Sensor,,,b509,0d0600,temp,,D2C,,°C,current outside temperature (valid only if a sensor is connected to the VR60),sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,TeleSwitch,TeleSWITCH,,,b509,0d0a00,value,,UCH,0=off;1=on,,State of the Teleswitch
r,,,IsInHoliday,Ferienprogramm aktiv,,,b509,0d2700,value,,UCH,,,Every bit of this byte represents a heating circuit; holiday function can be started by setting the HC's corresponding bit
r,,,IsInParty,Partyfunktion aktiv,,,b509,0d4e00,value,,UCH,,,Every bit of this byte represents a heating circuit; if bit is set the party function is activated for the corresponding HC
r,,,CleaningLady,Sparfunktion,,,b509,0d4b00,value,,UCH,,,saving function is activated until read value * 1/2 h
r,,,IsInStorageFilling,Speicherladung aktiv,,,b509,0d4700,value,,UCH,0=no;1=yes,,heating circuit is locked because of ongoing tank loading unless parallel loading has been activated
r,,,MixerDutyCycle,Mixer2DutyCycle3,,,b509,0d0f00,value,,SCH,,,"Teleswitch,Pumpe,Zirkulationspumpe,WW Anforderung,WW Freigabe"
r,,,HcPumpPort,Hk3P_Port3,,,b509,0d9400,value,,UCH,0=off;1=on,,Status of mixer cicuit pump on MK1P
r,,,CfgHeatSinkType,Kreis Typ,,,b509,0d3c00,value,,UCH,0=disabled;1=mixer;2=water;3=fixvalue;4=backflow,,Type of the configurable mixer circuit
w,,install,CfgHeatSinkType,Kreis Typ,,,b509,0e3c00,value,,UCH,0=disabled;1=mixer;2=water;3=fixvalue;4=backflow,,Type of the configurable mixer circuit
r,,,OperatingMode,OperatingMode3,,,b509,0d2b00,value,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,Operating mode of mixer circuit
w,,,OperatingMode,OperatingMode3,,,b509,0e2b00,value,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,Operating mode of mixer circuit
r,,,TempDesired,Solltemperatur,,,b509,0d3200,value,,D1C,,°C,Day temperature setpoint of the circuit
w,,,TempDesired,Solltemperatur,,,b509,0e3200,value,,D1C,,°C,Day temperature setpoint of the circuit
