type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
[id_sw<201]r,,,OperatingMode430,"OperatingMode430: Operating mode of solar DHW circuit for 430 (1 = auto, 2 = manual, 3 = off)",,,b509,0d0f00,value,,UCH,,,register value
[id_sw<201]w,,,OperatingMode430,"OperatingMode430: Operating mode of solar DHW circuit for 430 (1 = auto, 2 = manual, 3 = off)",,,b509,0e0f00,value,,UCH,,,register value
[id_sw>=201]r,,,OperatingMode470,"OperatingMode470: Operating mode of solar DHW circuit for 470 (1 = auto, 3 = off, 4 = on)",,,b509,0d0f00,value,,UCH,,,register value
r,,,TempDesired,Solltemperatur: desired temperature (day temperature) for DHW,,,b509,0d1300,value,,D1C,,°C,register value
w,,,TempDesired,Solltemperatur: desired temperature (day temperature) for DHW,,,b509,0e1300,value,,D1C,,°C,register value
r,,,LegioStartDay,Starttag Legionellenschutz,,,b509,0d4e00,value,,UCH,0=Mon;1=Tue;2=Wed;3=Thu;4=Fri;5=Sat;6=Sun;7=off;8=Mon_Sun,,Start day for legio protection
w,,install,LegioStartDay,Starttag Legionellenschutz,,,b509,0e4e00,value,,UCH,0=Mon;1=Tue;2=Wed;3=Thu;4=Fri;5=Sat;6=Sun;7=off;8=Mon_Sun,,Start day for legio protection
r,,,LegioStartTime,Startzeit Legionellenschutz: Start time for legio protection,,,b509,0d4f00,value,,UCH,,,register value
w,,install,LegioStartTime,Startzeit Legionellenschutz: Start time for legio protection,,,b509,0e4f00,value,,UCH,,,register value
r,,,SolGainPressLowDelay,SolarGain_LP_Delay: Set TRUE for LP delay in case of solar gain,,,b509,0d5d00,value,,UCH,0=no;1=yes,,register value
r,,,IsInHoliday,Ferienprogramm aktiv: TRUE if holiday is active,,,b509,0d0b00,value,,UCH,0=no;1=yes,,register value
r,,,IsInBankHoliday,IsInBankHoliday: TRUE if BankHoliday is active,,,b509,0d5f00,value,,UCH,0=no;1=yes,,register value
r,,,IsInSystemOff,IsInSystemOff: TRUE if SystemOff is active,,,b509,0d6000,value,,UCH,0=no;1=yes,,register value
r,,,FlowTempDesired,Vorlaufsolltemperatur berechnet von VR68,,,b509,0d1600,value,,D1C,,°C,register value
r,,,ActualTempDesired,"Akt. Solltemperatur: Current tank setpoint. Depends on the programmed period and current time, operating mode …",,,b509,0d1f00,value,,D1C,,°C,register value
r,,,ManualStorageTempDesired,Manueller Speichersollwert: DHW setpoint in case of manual mode,,,b509,0d4700,value,,D2C,,°C,register value
w,,,ManualStorageTempDesired,Manueller Speichersollwert: DHW setpoint in case of manual mode,,,b509,0e4700,value,,D2C,,°C,register value
r,,,QuickVetoTempDesired,Quick Veto Sollwert: DHW setpoint in case of quick veto,,,b509,0d4600,value,,D2C,,°C,register value
r,,,LegionellaPump,Legionellenpumpe: Legionella pump,,,b509,0d0700,value,,UCH,0=off;1=on,,register value
r,,,RuntimeLegionellaPump,RuntimeLegionellaPump,,,b509,0d4100,value,,UIN,,h,register value
r,,,HwcLegioProtectionMaxTimer,Legionellenschutz max. Timer: Maximal time the legio protection state is hold (indepent of reached temperature),,,b509,0d1a00,value,,UCH,,min,register value
