type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,Ntc1RawData,Ntc1RawData,,,b509,0d0000,value,,UIN,,,
r,,,Ntc2RawData,Ntc2RawData,,,b509,0d0100,value,,UIN,,,
r,,,Ntc3RawData,Ntc3RawData,,,b509,0d0200,value,,UIN,,,
r,,,Ntc4RawData,Ntc4RawData,,,b509,0d0300,value,,UIN,,,
r,,,Ntc1Sensor,Ntc1Sensor: Temperature in solar flow (from solar collector),,,b509,0d0500,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,Ntc2Sensor,Ntc2Sensor: Temperature in solar back flow (to solar collector),,,b509,0d0600,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,Ntc3Sensor,Ntc3Sensor: Temperature in buffer flow (to buffer),,,b509,0d0700,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,Ntc4Sensor,Ntc4Sensor: Temperature in buffer back flow (from buffer),,,b509,0d0800,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,SolPumpRelay,Relais Solarpumpe: Solar pump relay: 0: OFF; 1: ON,,,b509,0d0f00,value,,UCH,0=off;1=on,,
w,,install,SolPumpRelay,Relais Solarpumpe: Solar pump relay: 0: OFF; 1: ON,,,b509,0e0f00,value,,UCH,0=off;1=on,,
r,,,SolPumpPower,SolarPumpPower: Performance of solar pump: (7 - 100 %),,,b509,0d1000,value,,UCH,,kW,
w,,install,SolPumpPower,SolarPumpPower: Performance of solar pump: (7 - 100 %),,,b509,0e1000,value,,UCH,,kW,
r,,,BufferPumpPower,BufferPumpPower: Performance of buffer pump: (15 - 100%),,,b509,0d1100,value,,UCH,,kW,
w,,install,BufferPumpPower,BufferPumpPower: Performance of buffer pump: (15 - 100%),,,b509,0e1100,value,,UCH,,kW,
r,,,MonitorMatlabLast5minSolAverage,MonitorMatlab_Last5minSolarAverage,,,b509,0d1700,value,,SIN,,,
r,,,CurrentSolTempDesired,CurrentSolarSetpoint,,,b509,0d1800,value,,UIN,,°C,Temperature target in solar flow at sensor Ntc1Sensor
r,,,CurrentVPMLoadingMode,"CurrentVPM_LoadingMode: 1. DHW-Support (stand alone), 2. CH-Support (stand alone), 3. +10K (stand alone), 4. SwimmingPool, 5.DHW-Support (with external control), 6. CH-Support (with external control), 7. +10K (with external control)",,,b509,0d1900,value,,UCH,,,
r,,,RunTimePump1Minutes,RunTimePump1_Minutes: Runtime of solar pump in minutes,,,b509,0d1a00,value,,UCH,,min,minutes
r,,,RunTimePump1Hours,RunTimePump1_Hours: Runtime of solar pump in hours,,,b509,0d1b00,value,,UIN,,h,hours
r,,,ExternalHwcRequest,ExternalDHWRequest: 0: No request; 1: Request,,,b509,0d1c00,value,,UCH,0=off;1=on,,
r,,,ExternalHcRequest,ExternalCHRequest: 0: No request; 1: Request,,,b509,0d1d00,value,,UCH,0=off;1=on,,
r,,,ExternalHwcTempDesired,ExternalDHWSetpoint: Requested temperature for DHW,,,b509,0d1e00,value,,UCH,,°C,desired temperature
