type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,Ntc1Sensor,Ntc1Sensor,,,b509,0d0500,temp,,D2C,,°C,Temperature in solar flow (from solar collector),sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,Ntc2Sensor,Ntc2Sensor,,,b509,0d0600,temp,,D2C,,°C,Temperature in solar back flow (to solar collector),sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,SolPumpRelay,Relais Solarpumpe,,,b509,0d0f00,value,,UCH,0=off;1=on,,Solar pump relay: 0: OFF; 1: ON
w,,install,SolPumpRelay,Relais Solarpumpe,,,b509,0e0f00,value,,UCH,0=off;1=on,,Solar pump relay: 0: OFF; 1: ON
r,,,SolPumpPower,SolarPumpPower,,,b509,0d1000,value,,UCH,,kW,Performance of solar pump: (7 - 100 %)
w,,install,SolPumpPower,SolarPumpPower,,,b509,0e1000,value,,UCH,,kW,Performance of solar pump: (7 - 100 %)
r,,,BufferPumpPower,BufferPumpPower,,,b509,0d1100,value,,UCH,,kW,Performance of buffer pump: (15 - 100%)
w,,install,BufferPumpPower,BufferPumpPower,,,b509,0e1100,value,,UCH,,kW,Performance of buffer pump: (15 - 100%)
r,,,MonitorMatlabLast5minSolAverage,MonitorMatlab_Last5minSolarAverage,,,b509,0d1700,value,,SIN,,,
r,,,CurrentVPMLoadingMode,CurrentVPM_LoadingMode,,,b509,0d1900,value,,UCH,,,"1. DHW-Support (stand alone), 2. CH-Support (stand alone), 3. +10K (stand alone), 4. SwimmingPool, 5.DHW-Support (with external control), 6. CH-Support (with external control), 7. +10K (with external control)"
r,,,RunTimePump1Minutes,RunTimePump1_Minutes,,,b509,0d1a00,value,,UCH,,min,Runtime of solar pump in minutes
r,,,RunTimePump1Hours,RunTimePump1_Hours,,,b509,0d1b00,value,,UIN,,h,Runtime of solar pump in hours
r,,,ExternalHwcRequest,ExternalDHWRequest,,,b509,0d1c00,value,,UCH,0=off;1=on,,0: No request; 1: Request
r,,,ExternalHcRequest,ExternalCHRequest,,,b509,0d1d00,value,,UCH,0=off;1=on,,0: No request; 1: Request
r,,,ExternalHwcTempDesired,ExternalDHWSetpoint,,,b509,0d1e00,value,,UCH,,°C,Requested temperature for DHW
r,,,ExternalHcTempDesired,ExternalCHSetpoint,,,b509,0d1f00,value,,UCH,,°C,Requested temperature for CH
r,,,CurrentASCStateforExternals,CurrentASCStateforExternals,,,b509,0d2000,value,,UCH,,,1:OFF 2: Proofing 3:DHWLoading 4:CHLoading 5:Overtemperature
r,,,CurrentASCStateforASI,CurrentASCStateforASI,,,b509,0d2100,value,,UCH,,,1: Standby 2:Proofing 3:StorageLoading 4:Error_System_blocked
r,,,DateAndTimeIsSet,DateAndTimeIsSet,,,b509,0d2200,value,,UCH,0=off;1=on,,0: Date and Time is not set; 1: Date and Time is set
r,,,Time,time,,,b509,0d2300,value,,HTI,,,time
w,,install,Time,time,,,b509,0e2300,value,,HTI,,,time
r,,,Date,date,,,b509,0d2400,value,,HDA,,,date
w,,install,Date,date,,,b509,0e2400,value,,HDA,,,date
r,,,FlowSensorFrequency,FlowSensorFrequency,,,b509,0d2d00,value,,UIN,,,
