type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
[id_sw>=119]r,,,Hc1FloorPavementDryingTemp,HC1_FloorPavementDryingTemperature,,,b509,0d2a00,value,,D1C,,°C,HC1's current flow temperature setpoint with activated floor pavement drying
[id_sw>=119]r,,,Hc1FloorPavementDryingDay,HC1_FloorPavementDryingDay,,,b509,0d3800,value,,UCH,,,HC1's current day of floor pavement drying
[id_sw>=121]r,,,B51000M7OpModeMonitor,B51000M7OpModeMonitor,,,b509,0d6500,value,,UCH,,,"operation mode sent via B5 10 00 (0 = auto, 1 = forced off, 2 = forced CH, 3 = forced DHW)"
[id_sw>=121]r,,,B51000M10HwcFlowSetMon,B51000M10DHWFlowSetMon,,,b509,0d6600,value,,UCH,,,flow setpoint DHW sent via B5 10 00
[id_sw>=121]r,,,B51000M12DisableBitsMon,B51000M12DisableBitsMon,,,b509,0d6700,value,,UCH,,,"bits 0-7: disable CH/disable DHW tapping/disable DHW tank loading/not used/clear burner blocking DHW/dis, disable bits sent via B5 10 00 (leftmost bit 0, rightmost bit 7)"
[id_sw>=121]r,,,B51000M14Monitor,B51000M14Monitor,,,b509,0d6800,value,,UCH,,,"bits 0-7: remote control CH pump/release backup heater/release cooling/not used/left stop position DHW o, bits sent in M14 of B5 10 00 (leftmost bit 0, rightmost bit 7; relevant is bit 0: remote control of CH pump)"
[id_sw<=120]r,,,B51000HcDisableMonitor,B51000CHDisableMonitor,,,b509,0d8e00,value,,UCH,,,copy of the M12 byte of the B5 10 00 service containing the disable bits
r,,,DisplayedRoomTemp,DisplayedRoomTemp,,,b509,0d8000,value,,D2C,,°C,displayed room temperature
r,,,RoomTemp,RaumtemperaturIst,,,b509,0d0000,temp,,D2C,,°C,raw value current room temperature and sensorstate (without any correction),sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,OutsideTemp,OutsideTempSensor,,,b509,0d6200,temp,,D2C,,°C,current outdoor temperature and sensorstate,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,ActualWeekday,Actual Weekday,,,b509,0d5f00,value,,BDY,,,current day of week
w,,,ActualWeekday,Actual Weekday,,,b509,0e5f00,value,,BDY,,,current day of week
r,,,Time,time,,,b509,0d6000,value,,HTI,,,current time
w,,,Time,time,,,b509,0e6000,value,,HTI,,,current time
r,,,Date,date,,,b509,0d6100,value,,HDA,,,current date
w,,,Date,date,,,b509,0e6100,value,,HDA,,,current date
r,,,StatusDcf,StatusDcf,,,b509,0d0200,value,,UCH,0=nosignal;1=ok;2=sync;3=valid,,status of the DCF signal (0x00 = no DCF-Signal detected / no RTC value; 0x01 = DCF-signal detected; 0x02 = DCF-signal is being interpreted; 0x03 = DCF-data valid; 0x04 = RTC-data is valid)
r,,,IsInHoliday,Holiday function active,,,b509,0d0b00,value,,UCH,0=no;1=yes,,holidays active
r,,,Hc1OPMode,HC1_OPMode,,,b509,0d2f00,value,,UCH,0=off;1=manual;2=auto,,operation mode of the first heating circuit
w,,,Hc1OPMode,HC1_OPMode,,,b509,0e2f00,value,,UCH,0=off;1=manual;2=auto,,operation mode of the first heating circuit
