type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
[id_sw>=202]r,,,YieldSum,EarnedEnergySum,,,b509,0d8700,value,,ULG,,,
[id_sw>=202]r,,,YieldOld,EarnedEnergyOld,,,b509,0d8600,value,,ULG,,,Contains earned energy sum stored from AMU last midnight. Required for data transmission between PCBs.
[id_sw>=202]w,,install,YieldOld,EarnedEnergyOld,,,b509,0e8600,value,,ULG,,,Contains earned energy sum stored from AMU last midnight. Required for data transmission between PCBs.
[id_sw<=345]r,,,ChildProtection,child protection,,,b509,0d6e00,value,,UCH,0=no;1=yes,,child protection
[id_sw>=220]r,,,CoolingDay,CoolingDay,,,b509,0d7c00,value,,UCH,,,
[id_sw>=220]r,,,CoolingActive,CoolingActive,,,b509,0d8300,value,,UCH,0=off;1=on,,
[id_sw>=250]r,,,DiagnoseMode,DiagnoseMode,,,b509,0d8f00,value,,UCH,,,"_DiaMode_Not=0, _DiaMode_Off, _DiaMode_CH, _DiaMode_DhwLoading, _DiaMode_Cooling, _DiaMode_Deicing"
[id_sw>=250]r,,,EmStateWorkingMode,EmState_WorkingMode,,,b509,0d9000,value,,UCH,,,0 = Standby1 = CH2 = Cooling
[id_sw>=250]r,,,EmStateCooling,EmStateCooling,,,b509,0d9100,value,,UCH,,,0=off1=DhwReq2=Dhw3=TankPOverrun4=Heating5=OverpresFDhw6=OverpresFCh7=WaitChDemOverp8=WaitChDemCH9=WaitChDemEndDhw10=CoolingHSOff11=CoolingHSOn12=DhwWhileCool13=CoolingDhw14=StandbyHSOff15=DhwWhileStandby
[id_sw>=250]r,,,EmStateStandby,EmStateStandby,,,b509,0d9200,value,,UCH,,,0=off1=DhwReq2=Dhw3=TankPOverrun4=Heating5=OverpresFDhw6=OverpresFCh7=WaitChDemOverp8=WaitChDemCH9=WaitChDemEndDhw10=CoolingHSOff11=CoolingHSOn12=DhwWhileCool13=CoolingDhw14=StandbyHSOff15=DhwWhileStandby
[id_sw>=250]r,,,EmStateHc,EmStateCH,,,b509,0d9300,value,,UCH,,,0=off1=DhwReq2=Dhw3=TankPOverrun4=Heating5=OverpresFDhw6=OverpresFCh7=WaitChDemOverp8=WaitChDemCH9=WaitChDemEndDhw10=CoolingHSOff11=CoolingHSOn12=DhwWhileCool13=CoolingDhw14=StandbyHSOff15=DhwWhileStandby
[id_sw>=250]r,,,HwcDemand,DHW_Demand,,,b509,0d9400,value,,UCH,0=off;1=on,,
[id_sw>=250]r,,,HcDemand,CH_Demand,,,b509,0d9500,value,,UCH,0=off;1=on,,
[id_sw>=250]r,,,CoolingDemand,Cooling_Demand,,,b509,0d9600,value,,UCH,0=off;1=on,,
[id_sw>=250]r,,,EmSystemMode,EmSystemMode,,,b509,0d9700,value,,UCH,,,0 = Off1 = Heating2 = Cooling3 = Dhw4 = DhwDuringCH5 = DhwDuringCooling
[id_sw>=250]r,,,ParallelCoolingHwcPossible,ParallelCoolingDhwPossible,,,b509,0d9800,value,,UCH,0=off;1=on,,
[id_sw>=250]r,,,DesiredWorkingMode,DesiredWorkingMode,,,b509,0d9a00,value,,UCH,,,0 = Standby1 = CH2 = Cooling
