type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,OperatingMode,OperatingMode,,,b509,0d0604,value,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,1=Heizen 2=Aus 3=Auto 4=Eco 5=Absenken
r,,,FlowTempMin,MinFlowTemp,,,b509,0d0b04,value,,UCH,,°C,1 °C resolution
r,,,FlowTempMax,MaxFlowTemp,,,b509,0d0c04,value,,UCH,,°C,1 °C resolution
r,,,TempDesired,desired temperature,,,b509,0d0d04,value,,D1C,,°C,1/2 °C resolution
r,,,TempDesiredLow,DesiredLowTemperature,,,b509,0d0e00,value,,D1C,,°C,1/2 °C resolution
r,,,HcMaxPreHeating,HcMaxPreHeating,,,b509,0d1300,value,,UCH,,,"0,5h"
r,,,FloorPavingDryingDay,FloorPavingDryingDay,,,b509,0d1600,value,,UCH,,,
r,,,Kreisart,Kreisart,,,b509,0d1700,value,,UCH,,,1=Brennerkreis 2=BrennerFestwert
w,,service,Kreisart,Kreisart,,,b509,0e1700,value,,UCH,,,1=Brennerkreis 2=BrennerFestwert
r,,,CircuitDiaState,CircuitDiaState,,,b509,0d1804,value,,UCH,,,
r,,,CleaningLady,CleaningLady,,,b509,0d2304,value,,UCH,,,"0,5h"
r,,,RemoteControlMode,RemoteControlMode,,,b509,0d2400,value,,UCH,,,
r,,,RemoteControlRtOffset,RemoteControlRtOffset,,,b509,0d2500,value,,SCH,,,"0,5°C"
r,,,ActualTempDesired,ActualDesiredTemp,,,b509,0d3304,value,,D1C,,°C,1/2°C Auflösung
r,,,Regelungsart,Regelungsart,,,b509,0d3500,value,,UCH,,,1 : Rücklaufregelung 2 : Vorlaufregelung
w,,service,Regelungsart,Regelungsart,,,b509,0e3500,value,,UCH,,,1 : Rücklaufregelung 2 : Vorlaufregelung
r,,,Konfiguration,Configuration,,,b509,0dc400,value,,UCH,,,
w,,service,Konfiguration,Configuration,,,b509,0ec400,value,,UCH,,,
r,,,HzTemp,T_Hz,,,b509,0dd800,value,,D2C,,°C,Vorlauf- oder Rücklauftemperatur je nach gewählter Regelungsart
r,,,HTSoll,HT_Soll,,,b509,0dd900,value,,D2C,,°C,°C
r,,,DateTime,date/time,,,b504,00,dcfstate,,UCH,0=nosignal;1=ok;2=sync;3=valid,,DCF receiver state,btime,,BTI,,,time,bdate,,BDA,,,date,temp,,D2B,,°C,temperature
r,,,Mode,Operation mode,,,b504,01,tempdesired,,UCH,,°C,temperature,mcmode,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,mixer mode,floorpavingdryingday,,UCH,,,days,floorpavingdryingtemp,,UCH,,°C,temperature,teleswitchmode,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,mixer mode,mctype,,BI0:7,0=inactive;1=mixer;2=fixed;3=hwc;4=returnincr;5=pool;6=circulation,,mixer type,ign,,IGN,,,,daynight,,UCH,0=night;1=day;7=floorpaving,,day/night mode
w,,,SetTempDesired,Set desired temperature,,,b505,01,value,,UCH,,°C,temperature
w,,,SetMode,Set operation mode,,,b505,02,value,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,mixer mode
w,,,SetFloorPavingDryingDay,Set floor paving drying day,,,b505,03,value,,UCH,,,days
w,,,SetFloorPavingDryingTemp,Set floor paving drying temperature,,,b505,04,value,,UCH,,°C,temperature
w,,,SetType,Set type,,,b505,08,value,,UCH,0=inactive;1=mixer;2=fixed;3=hwc;4=returnincr;5=pool,,mixer type
w,,,SetTempDesiredLow,Set desired low temperature,,,b505,0a,value,,UCH,,°C,temperature
w,,,SetHeatingCurve,Set heating curve,,,b505,0b,value,,UIN,100,,Heating curve
w,,,SetShutdownTemp,Set outside shutdown temperature,,,b505,0c,value,,UCH,,°C,temperature
w,,,SetPumpIdlePeriod,Set pump idle period,,,b505,0d,value,,UCH,,min,minutes
w,,,SetFlowTempMin,Set min flow temperature,,,b505,0e,value,,UCH,,°C,temperature
w,,,SetFlowTempMax,Set max flow temperature,,,b505,0f,value,,UCH,,°C,temperature
w,,,SetMaxPreHeating,Set max pre-heating,,,b505,10,value,,UCH,-12,h,hours
r,,,Params,Parameters,,,b504,09,tempdesired,,UCH,,°C,temperature,tempdesiredlow,,SCH,,°C,temperature,curve,,UIN,100,,Heating curve,mctype,,BI0:7,0=inactive;1=mixer;2=fixed;3=hwc;4=returnincr;5=pool;6=circulation,,mixer type,shutdowntemp,,SCH,,°C,temperature,pumpidleperiod,,UCH,,min,minutes,flowtempmin,,SCH,,°C,temperature,flowtempmax,,SCH,,°C,temperature,maxpreheating,,UCH,-12,h,hours
r,,,Status0a,Status flow temperature/mixer/pump/desired flow temperature,,,b504,0a,flowtemp,,D2C,,°C,temperature,mixer,,UCH,0=off;1=open;2=close,,mixer State,pump,,UCH,0=off;1=on,,,onoff,,UCH,0=off;1=on,,,flowtempdesired,,UCH,,°C,temperature
r,,,Status,Status flow desired/current,,,b504,0d,flowtempdesired,,UCH,,°C,temperature,onoff,,UCH,0=off;1=on,,,flowtemp,,D2C,,°C,temperature,tempdesired,,UCH,,°C,temperature
r,,,Status16,outside temperature,,,b504,16,value,,D2C,,°C,temperature
w,,,Party,Quick - party,,,b505,05,value,,UCH,0=off;1=on,,
w,,,Load,quick - hot water tank filling,,,b505,06,value,,UCH,0=off;1=on,,
w,,,Save,Quick - cleaning lady,,,b505,07,value,,TTH,,,
