type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,RoomTemp,RaumtemperaturIst,,,b509,0d0000,temp,,D2C,,°C,room temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,RoomTempOffset,RaumtemperaturIstOffset,,,b509,0d1f00,value,,D2C,,°C,temperature
w,,install,RoomTempOffset,RaumtemperaturIstOffset,,,b509,0e1f00,value,,D2C,,°C,temperature
r,,,RoomTempOffsetSelfWarming,RaumTempOffsetEigenErwaerm,,,b509,0d2000,value,,D2C,,°C,temperature
r,,,HolidayPeriod,HolidayPeriod,,,b509,0d4300,hfrom,,HDA,,,holiday period from,hto,,HDA,,,holiday period to,hfrom_1,,HDA,,,holiday period from,hto_1,,HDA,,,holiday period to
w,,,HolidayPeriod,HolidayPeriod,,,b509,0e4300,hfrom,,HDA,,,holiday period from,hto,,HDA,,,holiday period to,hfrom_1,,HDA,,,holiday period from,hto_1,,HDA,,,holiday period to
r,,,RoomTempHoliday,RoomSetTempHoliday,,,b509,0d2200,value,,D2C,,°C,temperature
w,,,RoomTempHoliday,RoomSetTempHoliday,,,b509,0e2200,value,,D2C,,°C,temperature
r,,,LcdContrastPwmValue,LcdContrastPwmValue,,,b509,0d3600,value,,UCH,,,contrast for the display
w,,install,LcdContrastPwmValue,LcdContrastPwmValue,,,b509,0e3600,value,,UCH,,,contrast for the display
