type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
[id_sw>=104]r,,,SourceInputSensorOffset,AirInletSensor_Offset,,,b509,0d4a00,value,,D2C,,°C,calibration value for air inlet sensor
[id_sw>=104]w,,install,SourceInputSensorOffset,AirInletSensor_Offset,,,b509,0e4a00,value,,D2C,,°C,calibration value for air inlet sensor
[id_sw>=104]r,,,Parametersandinformation_SourceInputSensorOffset,Brine_warmSensor_Offset,,,b509,0d4b00,value,,D2C,,°C,calibration value for brine sensor
[id_sw>=104]w,,install,Parametersandinformation_SourceInputSensorOffset,Brine_warmSensor_Offset,,,b509,0e4b00,value,,D2C,,°C,calibration value for brine sensor
[id_sw>=104]r,,,DeiceTimeMax,MaxDeiceTime,,,b509,0d4500,value,,UIN,,min,"max. deicing time. By exceeding this value, message unsuccessful deicing is released"
[id_sw>=104]w,,install,DeiceTimeMax,MaxDeiceTime,,,b509,0e4500,value,,UIN,,min,"max. deicing time. By exceeding this value, message unsuccessful deicing is released"
[id_sw>=104]r,,,DeicePeriodMin,MinDeicePeriod,,,b509,0d4600,value,,UIN,,min,"Min. time between deicings. If time is shorter, something is wrong"
[id_sw>=104]w,,install,DeicePeriodMin,MinDeicePeriod,,,b509,0e4600,value,,UIN,,min,"Min. time between deicings. If time is shorter, something is wrong"
[id_sw>=104]r,,,DeicefinishTemp,TDeicefinish,,,b509,0d2900,value,,D2C,,°C,stops automatic defrosting process
[id_sw>=104]w,,install,DeicefinishTemp,TDeicefinish,,,b509,0e2900,value,,D2C,,°C,stops automatic defrosting process
[id_sw>=104]r,,,DeltaTMax,MaxDeltaT,,,b509,0d2800,value,,D2C,,°C,start defrost process when temperature difference between air and brine is above this setpoint
[id_sw>=104]w,,install,DeltaTMax,MaxDeltaT,,,b509,0e2800,value,,D2C,,°C,start defrost process when temperature difference between air and brine is above this setpoint
[id_sw>=104]r,,,DeiceOnTemp,TDeiceOn,,,b509,0d2700,value,,D2C,,°C,above this air temperature ice is quite unusual
[id_sw>=104]w,,install,DeiceOnTemp,TDeiceOn,,,b509,0e2700,value,,D2C,,°C,above this air temperature ice is quite unusual
[id_sw>=104]r,,,OnlyFanTemp,TOnlyFan,,,b509,0d2600,value,,D2C,,°C,"above this air temperature, the defroster is not used for defrosting, only fan"
[id_sw>=104]w,,install,OnlyFanTemp,TOnlyFan,,,b509,0e2600,value,,D2C,,°C,"above this air temperature, the defroster is not used for defrosting, only fan"
[id_sw>=104]r,,,DeiceWFanHyst,DeiceWFanHyst,,,b509,0d2400,value,,D2C,,°C,remaining temperature difference to air inlet while fan defrosting
[id_sw>=104]w,,install,DeiceWFanHyst,DeiceWFanHyst,,,b509,0e2400,value,,D2C,,°C,remaining temperature difference to air inlet while fan defrosting
[id_sw>=104]r,,,DeiceRequestHyst,DeiceRequestHyst,,,b509,0d2300,value,,D2C,,°C,for stable frost detection
[id_sw>=104]w,,install,DeiceRequestHyst,DeiceRequestHyst,,,b509,0e2300,value,,D2C,,°C,for stable frost detection
[id_sw>=104]r,,,SpeedTempMin,MinSpeedTemp,,,b509,0d5800,value,,D2C,,°C,temperature for minimum speed
