type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,Col,KOL: value and sensorstate of the collector sensor,,,b509,0d0400,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,SP1,value and sensorstate of upper tank temperature sensor SP1,,,b509,0d0000,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,SP2,value and sensorstate of lower tank temperature sensor SP2,,,b509,0d0100,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,D1Temp,value and sensorstate of middle tank temperature sensor TD1,,,b509,0d0200,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,D2Temp,value and sensorstate of the system's return flow sensor TD2,,,b509,0d0800,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,SolGain,Sensor Solarertrag: value and sensorstate of the solar gain sensor,,,b509,0d0300,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,SolOperationMode,"SolarOperationMode: solar operation mode (permanently on, off)",,,b509,0d3600,value,,UCH,0=off;1=on,,
r,,,CollPump,CollectorPump: collector pump's state,,,b509,0d0600,value,,UCH,0=off;1=on,,
r,,,RuntimeCollPump,RuntimeCollectorPump: accumulated runtime of the collector pump,,,b509,0d2a00,value,,UIN,,h,hours
r,,,RuntimeCollPumpSeconds,RuntimeCollectorPumpSeconds: runtime in seconds base for runtime in hours,,,b509,0d2900,value,,UIN,,,
r,,,KickFunction,KickFunction: enable kick function,,,b509,0d3200,value,,UCH,0=off;1=on,,
w,,install,KickFunction,KickFunction: enable kick function,,,b509,0e3200,value,,UCH,0=off;1=on,,
r,,,ColKickPumpTime,ColKickPumpTime: time pump is running when collector kick function is activated,,,b509,0d3b00,value,,UCH,,s,seconds
r,,,ColKickTempDelta,ColKickTempDelta: temperature difference necessary for activating the pump kick,,,b509,0d3c00,value,,UCH,,°C,temperature
r,,,FlowRate,FlowRate,,,b509,0d2d00,value,,SIN,10,l/min,chosen flow rate of the collector pump (to calculate solar gain)
w,,install,FlowRate,FlowRate,,,b509,0e2d00,value,,SIN,10,l/min,chosen flow rate of the collector pump (to calculate solar gain)
r,,,SolCollPumpDcIntegrator,SolarCollPumpDcIntegrator: integral part of the solar collector pump's control if duty ratio control is active,,,b509,0d1900,value,,SIN,,,
r,,,MaximalTemp,MaximalTemperature: solar storage 1 maximum temperature for solar charge,,,b509,0d2600,value,,UCH,,°C,temperature
w,,install,MaximalTemp,MaximalTemperature: solar storage 1 maximum temperature for solar charge,,,b509,0e2600,value,,UCH,,°C,temperature
r,,,TempDifferenceOn,TempDifferenceEIN: solar difference control's switch on temperature of storage 1,,,b509,0d2400,value,,UCH,,°C,temperature
w,,install,TempDifferenceOn,TempDifferenceEIN: solar difference control's switch on temperature of storage 1,,,b509,0e2400,value,,UCH,,°C,temperature
r,,,TempDifferenceOff,TempDifferenceAUS: solar difference control's switch off temperature of storage 1,,,b509,0d2500,value,,UCH,,°C,temperature
