type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,SolCollPumpDcIntegrator,SolarCollPumpDcIntegrator,,,b509,0dcb00,value,,SIN,,,-50..50
r,,,SolEnableDiffTemp,SolEnableDiffTemp,,,b509,0dcd00,value,,UCH,,°C,5..12K / 1K Auflösung
w,,service,SolEnableDiffTemp,SolEnableDiffTemp,,,b509,0ecd00,value,,UCH,,°C,5..12K / 1K Auflösung
r,,,SolDisableDiffTemp,SolDisableDiffTemp,,,b509,0dce00,value,,UCH,,°C,1..10K / 1K Auflösung
w,,service,SolDisableDiffTemp,SolDisableDiffTemp,,,b509,0ece00,value,,UCH,,°C,1..10K / 1K Auflösung
r,,,SolHwcMaxLoadTemp,SolDhwMaxLoadTemp,,,b509,0dcf00,value,,UCH,,°C,35..80°C / 1°C
w,,service,SolHwcMaxLoadTemp,SolDhwMaxLoadTemp,,,b509,0ecf00,value,,UCH,,°C,35..80°C / 1°C
r,,,SolConfigFlags,SolarConfigFlags,,,b509,0dd000,value,,UCH,,,
r,,,SolCollPumpED,SolarCollectorPumpED,,,b509,0dd100,value,,UCH,,,0..100%
r,,,CollPumpSRuntime,CollectorPumpSRuntime,,,b509,0dd200,value,,UIN,,,runtime in seconds base for runtime in hours
w,,service,CollPumpSRuntime,CollectorPumpSRuntime,,,b509,0ed200,value,,UIN,,,runtime in seconds base for runtime in hours
r,,,CollPumpHRuntime,CollectorPumpHRuntime,,,b509,0dd300,value,,UIN,,,runtime in hours
w,,service,CollPumpHRuntime,CollectorPumpHRuntime,,,b509,0ed300,value,,UIN,,,runtime in hours
r,,,YieldMinute,SolarYieldMinute,,,b509,0dd400,value,,UIN,,,nur Summe von dT ohne Volumenstrom nur mit PWM
w,,service,YieldMinute,SolarYieldMinute,,,b509,0ed400,value,,UIN,,,nur Summe von dT ohne Volumenstrom nur mit PWM
r,,,Yield,SolarYieldKw,,,b509,0dd500,value,,UIN,,,um den Wert in KW zu bekommenmuß gerechnet werden:kW=x*SolarVolumnFlowUser*c
w,,service,Yield,SolarYieldKw,,,b509,0ed500,value,,UIN,,,um den Wert in KW zu bekommenmuß gerechnet werden:kW=x*SolarVolumnFlowUser*c
r,,,SolFlowRate,SolarFlowRate,,,b509,0dd600,value,,UIN,,,0..20l/h Wert des Taco-Setters für Ertragsermittlung
w,,service,SolFlowRate,SolarFlowRate,,,b509,0ed600,value,,UIN,,,0..20l/h Wert des Taco-Setters für Ertragsermittlung
