type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*w,
*r,
w,,,FactoryReset,Rücksetzen auf Werkseinstellung,,,40ff,466163746f72795265736574,
w,,,ResetNotifications,Fehlerliste,,,4091,,value,,UIR,256=Errors;1=Filter;257=ErrorsAndFilter;0=NoResetRequested,,NoResetRequested is a dummy message doing nothing. It might be useful for integration in MQTT and HA automation. ErrorsAndFilter seems not working for me - but is specified.
r,,,RequestErrorList,Fehlerhistorie,,,4090,,value,,HEX:18,,,
w,,,SetFanMode,Ventilatorbetrieb,,,40a1,,value,,ULR,0=Holiday;65537=Reduced;131074=Normal;196611=High,,Temporary settings which resets after few minutes
w,,,SetFanModeAlt,VentilatorbetriebAlternative,,,40cb,0101,value,,UIR,0=Holiday;1=Reduced;2=Normal;3=High,,Does not reset after one minute with Sky300 with latest SW; this message is sent by Brink AirControl wall panel
r,,,FilterNotificationFlow,Maximaler Durchsatz Filter,,,4050,1c,volume,,UIR,-1000,m³,,min,,UIR,-1000,m³,,max,,UIR,-1000,m³,,step,,UIR,-1000,m³,,default,,UIR,-1000,m³,
r,,,TotalFilterDays,Filterverwendung (Tage),,,4050,22,days,,UIR,,days,Tage,min,,UIR,,days,Tage,max,,UIR,,days,Tage,step,,UIR,,days,Tage,default,,UIR,,days,Tage
r,,,TotalFilterFlow,Filterverwendung,,,4050,23,volume,,UIR,-1000,m³,,min,,UIR,-1000,m³,,max,,UIR,-1000,m³,,step,,UIR,-1000,m³,,default,,UIR,-1000,m³,
r,,,TotalOperatingHours,Betriebsdauer,,,4050,24,hours5,,UIR,-5,h,Stunden,min,,UIR,-5,h,Stunden,max,,UIR,-5,h,Stunden,step,,UIR,-5,h,Stunden,default,,UIR,-5,h,Stunden
r,,,TotalFlow,Gesamtdurchsatz,,,4050,25,volume,,UIR,-1000,m³,,min,,UIR,-1000,m³,,max,,UIR,-1000,m³,,step,,UIR,-1000,m³,,default,,UIR,-1000,m³,
r,,,FanMode,Ventilatorbetrieb,,,4022,01,value,,UIR,0=Holiday;1=Reduced;2=Normal;3=High;4=Auto,,
r,,,SettingInletFlow,Zuluftmenge,,,4022,09,value,,UIR,,m³/h,
r,,,SettingExhaustFlow,Abluftmenge,,,4022,0a,value,,UIR,,m³/h,
r,,,InletFlow,Tatsächliche Zuluftmenge,,,4022,0b,value,,UIR,,m³/h,
r,,,ExhaustFlow,Tatsächliche Abluftmenge,,,4022,0c,value,,UIR,,m³/h,
r,,,InletFanSpeed,Tatsächliche Drehzahl Zuluft,,,4022,02,value,,UIR,,rpm,
r,,,ExhaustFanSpeed,Tatsächliche Drehzahl Abluft,,,4022,03,value,,UIR,,rpm,
r,,,PerilexPosition,Position Perilexschalter,,,4022,05,value,,UIR,0=0;1=1;2=2;3=3,,
r,,,SwitchPosition,Position Stufenschalter,,,4022,06,value,,UIR,0=0;1=1;2=2;3=3,,
